path,x1,y1,x2,y2
08201.png,116,49,396,445
06453.png,49,26,206,228
21502.png,-1,-1,-1,-1
11349.png,139,52,527,576
04760.png,74,27,390,433
01204.png,111,25,648,723
13785.png,-1,-1,-1,-1
04570.png,62,39,207,225
21781.png,281,198,1052,1237
16372.png,89,47,503,604
00386.png,41,419,393,832
09832.png,40,23,180,198
10555.png,52,25,181,196
20171.png,47,24,175,193
07990.png,35,26,236,268
07102.png,68,25,289,308
03582.png,119,68,487,567
05557.png,67,33,227,235
01643.png,-1,-1,-1,-1
02874.png,-1,-1,-1,-1
09588.png,35,17,188,208
08256.png,63,28,231,244
02149.png,41,18,225,240
04483.png,43,20,183,195
01508.png,92,69,353,376
08919.png,59,50,219,231
00470.png,48,21,209,237
20939.png,39,21,192,201
21826.png,54,15,227,233
19910.png,155,146,472,543
10734.png,95,44,355,387
09275.png,54,49,202,239
13498.png,66,27,339,365
08631.png,58,41,219,229
21325.png,64,37,362,396
10444.png,-1,-1,-1,-1
03166.png,58,44,234,254
03261.png,140,70,588,707
14794.png,41,25,180,207
15263.png,38,22,186,198
18519.png,49,29,171,202
19690.png,135,136,472,539
09119.png,99,60,479,541
14287.png,42,22,190,210
16126.png,104,81,438,485
02812.png,138,52,591,645
17501.png,-1,-1,-1,-1
18859.png,42,16,185,204
14021.png,38,16,185,201
12872.png,85,41,391,417
14353.png,99,22,403,436
04503.png,84,53,364,375
11428.png,41,19,187,203
16890.png,44,34,173,189
09299.png,52,33,87,79
02818.png,115,72,367,410
13108.png,41,27,181,195
16184.png,93,53,407,448
11868.png,49,30,186,193
02328.png,51,23,202,227
07021.png,0,16,443,941
07096.png,74,40,322,360
19810.png,205,109,829,856
10100.png,82,49,435,485
13436.png,42,26,153,163
19258.png,51,32,177,194
19082.png,-1,-1,-1,-1
05747.png,46,28,233,265
01554.png,39,15,228,246
03967.png,43,18,222,235
02367.png,51,21,207,228
21188.png,30,19,179,198
05232.png,187,112,735,862
04983.png,86,58,380,428
06039.png,30,16,134,153
02373.png,92,56,486,530
08408.png,64,43,342,365
11630.png,42,43,181,203
19559.png,42,20,184,197
20449.png,90,30,413,440
08297.png,47,27,212,231
13537.png,43,13,183,205
15648.png,30,18,166,179
12848.png,50,37,225,248
21241.png,38,26,186,205
09853.png,47,4,294,307
01602.png,142,97,434,470
01123.png,140,69,600,674
11041.png,92,3,412,424
11037.png,32,10,190,201
17166.png,38,37,170,191
21687.png,93,60,404,446
04512.png,103,65,410,462
21731.png,77,24,320,351
00993.png,96,82,441,508
04192.png,136,63,515,517
17896.png,41,23,183,193
02560.png,34,16,137,158
17960.png,126,30,506,560
06929.png,129,70,504,557
16878.png,41,20,200,214
08567.png,75,47,325,362
07094.png,53,40,330,373
05814.png,47,38,191,206
19534.png,0,20,182,223
20476.png,42,23,191,198
02069.png,93,32,482,533
03805.png,69,58,373,413
02493.png,54,46,197,219
00663.png,92,492,408,905
14091.png,29,15,186,204
02183.png,49,33,168,176
05589.png,86,36,397,440
05924.png,-1,-1,-1,-1
21349.png,30,18,141,153
03257.png,57,34,214,235
08011.png,93,51,437,491
19243.png,42,29,183,211
11014.png,33,17,182,195
10406.png,41,34,172,194
15630.png,40,16,183,202
11084.png,120,73,428,473
13789.png,73,34,419,485
09379.png,79,64,384,424
15070.png,36,26,183,202
08091.png,-1,-1,-1,-1
16779.png,47,19,208,205
12825.png,-1,-1,-1,-1
12172.png,47,30,183,207
16297.png,64,24,339,367
03841.png,43,26,208,229
14909.png,-1,-1,-1,-1
20518.png,106,68,436,493
01169.png,80,40,316,349
03879.png,135,58,477,534
19890.png,92,46,421,477
21044.png,40,12,186,206
09864.png,101,51,426,479
00159.png,-1,-1,-1,-1
15205.png,42,35,177,197
04574.png,210,117,1009,1123
13042.png,37,20,174,204
11392.png,49,31,187,216
20096.png,50,26,179,202
19746.png,57,36,241,262
10735.png,43,25,180,191
14258.png,95,54,434,488
07251.png,80,59,354,401
18181.png,50,44,172,196
06638.png,-1,-1,-1,-1
06247.png,124,53,537,615
11427.png,157,49,598,678
04805.png,51,19,209,220
14355.png,101,64,449,465
12388.png,66,65,368,421
15019.png,84,65,381,416
03130.png,53,16,246,258
05353.png,137,47,574,631
09539.png,41,21,179,201
14896.png,44,9,192,213
02923.png,65,45,408,491
17013.png,52,28,236,257
18349.png,53,21,180,204
11724.png,70,57,408,460
11621.png,61,21,260,294
02461.png,117,55,495,550
03037.png,38,24,206,221
07673.png,106,67,349,404
16451.png,29,15,143,163
05073.png,64,39,367,386
18393.png,46,31,224,253
10130.png,124,81,563,643
17416.png,84,20,344,373
03171.png,35,21,158,182
07803.png,34,9,160,185
13843.png,34,3,206,214
17114.png,31,10,191,206
14457.png,44,23,187,195
10076.png,32,29,170,197
14994.png,62,21,245,259
07150.png,180,94,901,1027
07274.png,217,504,520,887
07322.png,120,76,506,579
09280.png,56,25,329,367
12071.png,71,30,320,360
20628.png,184,130,780,870
10217.png,131,53,533,591
16820.png,81,42,349,387
12713.png,34,23,186,204
09956.png,48,26,178,193
17785.png,109,67,424,471
18889.png,110,49,414,449
11932.png,40,25,187,203
12598.png,46,19,192,198
18691.png,47,36,186,208
15979.png,37,34,180,205
13768.png,94,50,421,452
05007.png,91,60,325,346
05311.png,79,38,364,389
11947.png,109,37,499,556
10761.png,136,44,600,641
06592.png,57,37,218,230
18656.png,86,18,352,371
09050.png,46,17,210,235
03227.png,63,22,285,290
10342.png,48,21,177,191
01747.png,55,34,216,233
17651.png,145,31,623,668
21160.png,36,21,185,201
05338.png,50,24,383,431
20806.png,37,23,190,207
00887.png,9,513,348,959
17701.png,84,45,379,410
18814.png,32,15,177,198
15147.png,32,24,182,203
17495.png,47,30,179,190
13439.png,213,158,868,967
00896.png,87,31,363,402
16632.png,38,17,177,185
07743.png,106,107,521,637
17038.png,29,24,196,222
20155.png,43,18,186,191
03031.png,42,35,171,188
02631.png,102,65,409,405
21744.png,43,18,160,171
02170.png,50,38,205,222
05848.png,100,27,423,461
19529.png,90,45,361,389
13510.png,52,10,184,192
07730.png,55,32,248,263
12500.png,24,17,163,198
22082.png,85,69,395,447
20800.png,-1,-1,-1,-1
07834.png,136,65,472,509
14288.png,80,43,392,433
17686.png,89,57,419,464
10448.png,239,148,1012,1122
19706.png,102,40,461,503
17494.png,52,13,209,205
00989.png,42,15,188,209
17778.png,83,26,388,408
07617.png,86,47,399,457
13908.png,126,58,544,607
14171.png,92,58,427,462
05748.png,56,26,292,320
18661.png,43,23,180,208
21962.png,56,27,241,265
20263.png,107,61,474,519
19861.png,63,17,388,425
11730.png,105,67,435,493
06735.png,98,64,406,428
11082.png,45,23,182,209
01766.png,85,37,378,428
10770.png,74,17,241,231
12839.png,46,19,185,193
02992.png,382,0,720,431
13902.png,44,26,175,205
15881.png,131,53,499,525
03745.png,109,65,486,540
17230.png,43,13,193,203
12939.png,43,19,177,192
21159.png,173,109,606,675
20568.png,56,62,150,176
20054.png,41,22,182,197
20442.png,32,18,197,207
10294.png,39,21,189,201
13210.png,43,22,180,205
06853.png,93,75,386,436
09885.png,83,64,315,349
15815.png,31,18,188,204
17387.png,84,138,673,866
01023.png,30,11,150,164
13122.png,78,53,399,438
04235.png,40,24,158,176
11576.png,42,14,203,209
04947.png,35,20,134,154
02312.png,30,15,114,133
09749.png,63,29,252,279
07942.png,53,24,209,222
02864.png,35,15,139,155
05985.png,131,63,578,629
11549.png,39,11,190,200
11369.png,144,94,592,651
13238.png,37,30,185,205
11246.png,31,26,167,197
09886.png,36,20,181,198
15732.png,85,30,473,520
00708.png,55,48,325,380
07507.png,76,37,404,441
09728.png,102,49,436,462
05289.png,-1,-1,-1,-1
07173.png,26,10,156,186
11368.png,-1,-1,-1,-1
21212.png,38,27,183,202
05621.png,117,53,532,552
05456.png,76,30,467,516
22355.png,93,17,428,445
08036.png,94,66,412,486
18082.png,119,29,513,543
20325.png,90,69,472,527
01659.png,84,36,387,433
12469.png,93,57,416,456
10672.png,112,70,474,535
04046.png,68,215,427,641
16563.png,40,27,196,226
13643.png,39,15,159,171
03335.png,55,41,384,443
00842.png,125,66,508,538
04651.png,0,250,422,815
06342.png,52,19,229,252
04390.png,119,42,529,585
07092.png,75,477,539,959
20823.png,45,34,184,196
11659.png,47,19,208,205
00394.png,51,41,343,427
20472.png,58,21,201,198
06319.png,43,37,171,194
14592.png,44,34,173,201
07761.png,115,27,507,567
15163.png,38,17,186,199
21801.png,122,73,510,538
10585.png,62,30,237,255
12902.png,97,28,442,477
12654.png,40,21,179,202
12366.png,44,20,188,203
20175.png,43,34,183,200
13120.png,38,17,186,207
09750.png,41,24,182,205
03714.png,80,67,414,486
15977.png,38,14,189,203
07000.png,108,67,442,493
19514.png,41,18,137,153
21487.png,69,40,490,573
08084.png,132,92,512,561
01457.png,88,70,343,378
06124.png,-1,-1,-1,-1
04182.png,77,59,436,500
06655.png,103,28,414,471
08316.png,93,47,368,429
21170.png,-1,-1,-1,-1
06328.png,126,65,570,662
14113.png,-1,-1,-1,-1
03013.png,94,48,311,325
07332.png,231,106,977,1121
09435.png,34,34,191,208
03018.png,35,53,659,891
21468.png,46,16,187,199
01392.png,-1,-1,-1,-1
21701.png,-1,-1,-1,-1
06881.png,45,25,211,229
11213.png,44,37,347,377
12724.png,45,21,181,203
18373.png,133,57,415,404
06624.png,156,92,576,644
10827.png,44,21,185,202
15849.png,47,17,177,200
09217.png,68,34,372,389
12396.png,93,49,410,456
21261.png,83,24,346,368
20134.png,49,26,196,197
20807.png,43,22,164,171
18695.png,29,24,194,219
19108.png,-1,-1,-1,-1
21171.png,28,12,132,146
11511.png,39,21,185,198
07262.png,54,28,229,257
08708.png,42,22,201,232
20979.png,26,12,185,206
01633.png,158,58,603,646
10976.png,40,32,186,201
11357.png,109,29,510,564
02656.png,4,25,192,232
18855.png,148,105,700,782
14964.png,42,21,184,200
03375.png,107,42,436,489
03623.png,77,37,360,387
16463.png,42,24,183,195
05153.png,131,106,461,514
10427.png,43,35,175,194
21224.png,96,73,483,538
10908.png,67,16,276,282
18228.png,49,41,190,203
01433.png,92,48,287,326
19052.png,61,62,280,326
11583.png,50,18,240,267
11191.png,98,57,426,458
14883.png,40,14,177,196
14328.png,110,66,541,607
03398.png,94,44,377,412
18040.png,81,62,409,442
09295.png,80,47,335,373
00666.png,124,51,464,491
13651.png,-1,-1,-1,-1
13997.png,40,17,186,206
12660.png,151,94,588,624
13333.png,-1,-1,-1,-1
21570.png,72,10,304,302
00584.png,92,108,438,497
15685.png,-1,-1,-1,-1
04830.png,110,39,539,566
02019.png,207,127,615,651
10183.png,56,18,372,410
02245.png,46,15,223,226
04293.png,41,20,209,220
10116.png,101,66,422,454
09989.png,-1,-1,-1,-1
19296.png,57,25,181,196
16318.png,85,110,445,558
05859.png,36,184,497,715
15274.png,51,43,186,202
06423.png,147,67,577,642
18739.png,35,26,184,205
20259.png,101,54,491,555
14282.png,66,43,424,490
01272.png,84,36,344,385
14827.png,53,29,181,193
21862.png,97,51,418,440
18997.png,76,41,293,317
13118.png,66,60,218,234
07727.png,84,42,370,425
14478.png,-1,-1,-1,-1
08384.png,67,60,377,423
17068.png,90,45,376,410
00624.png,-1,-1,-1,-1
11275.png,197,69,1003,1096
05372.png,80,90,428,466
11899.png,33,11,188,206
00455.png,78,52,351,395
06215.png,104,46,384,390
10213.png,45,21,190,207
02759.png,66,43,369,423
17030.png,95,83,431,476
16724.png,61,30,242,263
03172.png,92,32,351,373
02859.png,76,46,345,379
15502.png,45,12,188,205
06197.png,109,63,517,587
11336.png,-1,-1,-1,-1
02305.png,90,62,373,407
16533.png,161,56,633,670
05887.png,102,52,408,444
05259.png,49,23,207,225
06318.png,22,7,104,115
10575.png,48,18,184,199
17462.png,46,20,183,192
04365.png,124,42,439,506
16627.png,168,62,705,742
01448.png,114,59,406,445
08024.png,42,36,177,211
13040.png,-1,-1,-1,-1
20777.png,43,16,179,194
00475.png,68,20,422,461
18999.png,109,34,381,419
18342.png,38,24,177,194
09873.png,43,30,187,196
13982.png,41,29,183,197
17350.png,53,30,223,239
19977.png,49,15,181,200
14352.png,25,22,171,194
08571.png,51,27,227,253
00587.png,90,81,376,429
12975.png,37,17,197,225
19579.png,37,24,181,202
17845.png,48,29,183,197
04900.png,42,13,216,235
14916.png,27,14,190,199
21711.png,-1,-1,-1,-1
21024.png,36,30,189,199
02174.png,53,48,217,230
04150.png,32,0,221,237
16066.png,37,15,183,199
21059.png,36,13,188,201
07287.png,69,46,251,288
01072.png,157,55,657,719
02795.png,69,45,394,430
18451.png,41,19,159,169
19485.png,92,57,448,506
15098.png,64,66,394,433
14655.png,36,37,178,205
02574.png,0,90,430,684
20719.png,149,89,685,764
11990.png,39,18,185,195
09357.png,79,19,370,399
19247.png,91,46,352,397
13351.png,38,16,186,194
12069.png,95,52,407,450
14700.png,37,6,184,195
18076.png,33,13,179,211
21923.png,110,34,475,496
18897.png,90,41,333,372
16735.png,50,26,225,247
06562.png,71,30,322,342
03925.png,124,69,478,546
10128.png,38,27,177,195
04105.png,30,8,128,125
20817.png,-1,-1,-1,-1
07280.png,132,76,569,652
10949.png,102,55,431,475
04009.png,95,68,365,426
06852.png,100,20,455,492
17594.png,20,0,169,178
01152.png,-1,-1,-1,-1
01461.png,194,152,728,826
09609.png,38,12,186,202
18220.png,41,17,195,218
09913.png,74,35,386,412
05290.png,108,75,423,482
14275.png,-1,-1,-1,-1
17775.png,38,12,191,204
01845.png,119,46,490,555
02125.png,187,107,592,662
06794.png,60,37,212,231
18368.png,48,22,192,199
08137.png,54,69,412,491
17993.png,42,18,182,196
08797.png,58,31,217,239
18093.png,36,18,173,195
05008.png,129,33,560,598
14787.png,39,14,184,209
21430.png,6,15,215,223
12276.png,37,23,226,252
02569.png,130,57,504,538
07158.png,66,42,224,242
13478.png,41,26,184,205
17040.png,41,23,180,197
20697.png,41,7,191,203
07757.png,-1,-1,-1,-1
08388.png,106,43,493,546
10773.png,41,20,198,211
07302.png,26,18,211,232
16056.png,76,5,486,529
09783.png,35,10,175,193
02326.png,-1,-1,-1,-1
22249.png,22,9,124,147
21683.png,101,57,385,429
20296.png,48,20,186,203
17209.png,35,19,173,198
05305.png,0,523,497,959
16160.png,36,11,192,204
07669.png,95,55,385,437
14098.png,57,42,166,184
17631.png,21,10,102,114
06086.png,89,44,368,424
19868.png,161,96,631,682
19965.png,54,29,186,198
21813.png,61,17,276,301
06455.png,104,54,566,600
00804.png,62,31,219,237
02903.png,39,25,200,228
18712.png,43,25,163,176
00723.png,111,53,370,422
10868.png,0,69,419,689
15258.png,70,40,333,381
05531.png,52,1,211,222
08573.png,54,42,219,262
02746.png,84,47,386,433
01246.png,28,16,140,152
07474.png,159,66,535,596
01604.png,117,68,503,586
02432.png,65,46,206,219
05681.png,105,58,464,542
03544.png,64,8,309,339
10841.png,65,14,326,354
21327.png,42,25,184,197
19729.png,28,10,181,203
12800.png,39,21,186,197
04862.png,146,75,526,547
08086.png,55,20,300,333
15129.png,46,18,193,195
07645.png,184,57,816,913
06630.png,85,56,415,460
19109.png,94,65,397,444
16967.png,47,24,186,198
00923.png,69,56,215,228
02408.png,37,11,183,190
16043.png,-1,-1,-1,-1
16571.png,38,20,184,199
18000.png,106,42,529,583
06989.png,55,19,256,276
00682.png,71,26,272,298
01682.png,-1,-1,-1,-1
09308.png,63,39,233,261
10997.png,49,22,222,235
16845.png,36,20,189,208
13543.png,41,24,174,201
15951.png,-1,-1,-1,-1
19590.png,96,42,374,388
02409.png,64,22,368,411
00014.png,121,44,497,561
06369.png,-1,-1,-1,-1
11923.png,45,28,180,201
18353.png,188,113,797,868
09329.png,94,24,402,434
12100.png,33,12,188,197
00268.png,151,88,613,691
17112.png,-1,-1,-1,-1
07218.png,95,63,430,471
18696.png,40,32,174,205
09409.png,86,41,504,608
17411.png,24,5,197,210
09753.png,-1,-1,-1,-1
05512.png,74,36,256,275
20158.png,42,27,175,184
09705.png,126,37,581,643
04439.png,25,0,179,182
21070.png,43,16,186,209
05617.png,46,33,233,251
16230.png,55,24,206,223
07920.png,49,21,185,186
09431.png,-1,-1,-1,-1
05193.png,-1,-1,-1,-1
22288.png,60,27,309,336
15547.png,45,22,187,200
05430.png,55,36,227,260
03516.png,-1,-1,-1,-1
01938.png,46,36,206,246
08515.png,-1,-1,-1,-1
19097.png,28,10,159,175
05622.png,203,68,755,833
02604.png,105,41,396,421
17482.png,41,9,188,209
06315.png,63,41,212,227
06715.png,263,125,983,1116
10240.png,50,25,180,196
02370.png,120,78,518,567
22116.png,32,18,134,139
03592.png,84,40,432,459
18050.png,-1,-1,-1,-1
10957.png,108,75,550,599
10439.png,54,48,368,437
11510.png,36,29,189,199
05085.png,68,32,348,375
12082.png,47,22,181,198
20878.png,35,13,178,205
12387.png,34,23,184,202
11974.png,47,31,174,195
00200.png,76,54,291,343
13139.png,-1,-1,-1,-1
13469.png,93,48,406,446
08261.png,51,25,232,255
15395.png,95,38,431,467
07860.png,43,24,212,227
04347.png,73,44,303,344
01161.png,50,24,205,231
12107.png,56,15,236,255
19065.png,42,18,182,203
03685.png,146,107,538,596
15223.png,97,51,445,505
09204.png,48,15,199,214
09494.png,90,49,444,516
11308.png,39,13,170,177
21240.png,33,10,151,166
01904.png,49,33,215,239
21650.png,83,25,437,495
01331.png,85,62,382,428
20331.png,41,13,186,201
05113.png,-1,-1,-1,-1
09063.png,51,29,326,356
20061.png,36,21,185,204
16172.png,70,36,223,223
00860.png,92,23,412,429
00940.png,50,26,200,231
16631.png,50,34,184,197
10306.png,-1,-1,-1,-1
07989.png,-1,-1,-1,-1
01081.png,0,215,430,851
05861.png,81,23,417,457
18214.png,51,31,220,244
02836.png,66,31,293,330
14080.png,32,17,178,214
02635.png,135,63,565,633
10677.png,40,27,177,205
14603.png,104,32,439,443
19735.png,68,38,280,315
02784.png,184,88,871,932
08644.png,55,24,349,398
06123.png,74,33,381,444
20602.png,42,27,215,246
11886.png,44,31,198,210
08315.png,126,69,478,495
03216.png,80,30,495,573
16601.png,84,51,376,440
00780.png,75,55,386,424
13442.png,37,15,185,203
19136.png,43,25,173,199
13576.png,81,16,403,448
18257.png,64,28,345,387
12852.png,59,30,243,263
12411.png,33,32,180,201
15175.png,12,14,189,213
10663.png,-1,-1,-1,-1
14568.png,44,4,175,176
15005.png,147,92,627,673
15324.png,46,28,181,201
03817.png,56,29,245,264
16745.png,118,48,481,531
19452.png,58,36,189,196
11171.png,80,38,371,420
21839.png,52,24,218,239
02202.png,211,127,721,799
10507.png,48,33,173,206
04155.png,63,27,294,316
07996.png,33,22,154,168
04585.png,82,41,338,373
15669.png,46,17,180,194
22321.png,35,0,223,226
07586.png,101,35,384,412
08125.png,133,102,447,494
01946.png,69,15,363,377
12502.png,47,36,364,391
20847.png,161,77,593,638
04630.png,96,62,370,402
16299.png,40,0,181,199
05558.png,26,14,149,167
14139.png,45,12,185,195
15813.png,83,50,424,456
00282.png,30,9,137,155
09548.png,-1,-1,-1,-1
21109.png,82,55,317,356
08299.png,82,33,372,410
12138.png,135,170,481,576
01575.png,154,66,564,644
13688.png,61,27,237,240
21447.png,69,43,266,295
10951.png,46,21,178,200
15406.png,42,14,183,195
09643.png,72,10,304,302
01883.png,59,42,225,233
03739.png,50,23,213,236
05309.png,86,42,367,399
07619.png,114,93,517,562
08536.png,29,13,152,156
01856.png,96,79,341,361
02873.png,162,91,560,590
20784.png,106,40,472,501
14686.png,99,98,431,490
09906.png,43,17,178,201
17028.png,45,27,183,200
08909.png,76,25,388,427
03241.png,37,12,188,201
03014.png,105,49,429,462
21608.png,111,61,414,433
03893.png,-1,-1,-1,-1
19698.png,47,23,188,201
04560.png,98,36,399,440
20052.png,41,28,182,203
06752.png,76,29,412,437
22012.png,-1,-1,-1,-1
13458.png,47,15,181,199
04338.png,93,82,397,429
14633.png,108,61,399,423
15123.png,42,39,178,196
15474.png,52,49,176,200
09880.png,40,31,220,247
12492.png,66,30,257,270
04525.png,57,1,320,359
00859.png,-1,-1,-1,-1
02723.png,38,22,195,208
20008.png,-1,-1,-1,-1
21054.png,40,9,189,195
13018.png,42,20,183,213
19562.png,16,0,126,124
07472.png,139,86,555,611
00870.png,114,72,402,456
07843.png,68,20,375,422
09702.png,47,16,184,199
15940.png,61,26,279,321
04921.png,104,66,431,458
15804.png,91,52,483,530
21917.png,45,28,174,184
16121.png,107,42,399,477
09982.png,53,35,220,239
14351.png,118,72,445,489
00763.png,45,28,205,225
04623.png,56,23,202,227
12833.png,41,23,184,198
10244.png,55,30,181,198
06276.png,214,111,883,989
19308.png,36,18,185,215
21368.png,37,26,181,194
15846.png,132,90,553,592
14305.png,39,27,187,200
07877.png,18,8,35,31
21307.png,123,60,493,563
11619.png,41,19,182,196
08099.png,79,33,342,386
02380.png,110,82,476,545
02014.png,111,60,378,426
01328.png,101,31,373,400
21444.png,80,67,511,575
05182.png,74,56,418,476
11616.png,137,52,501,543
08287.png,93,43,486,535
12490.png,51,26,181,186
05740.png,33,16,158,173
00607.png,-1,-1,-1,-1
09223.png,44,45,222,261
06719.png,44,13,233,265
05779.png,134,60,512,554
02402.png,27,19,123,147
00661.png,92,82,363,391
17937.png,44,23,189,200
14698.png,61,31,245,256
03955.png,86,27,309,341
07139.png,46,0,249,266
21948.png,94,51,420,454
02557.png,-1,-1,-1,-1
00787.png,71,62,349,396
11007.png,48,25,185,205
20425.png,216,102,1000,1049
17652.png,33,17,186,209
18410.png,54,22,206,223
21810.png,212,105,867,968
01283.png,49,21,206,230
05035.png,55,0,353,409
02693.png,103,70,427,468
12798.png,78,53,399,434
09416.png,51,29,185,199
07441.png,42,35,401,462
19753.png,67,42,355,385
03648.png,125,72,538,617
08058.png,32,10,160,168
20340.png,57,14,243,265
19553.png,42,32,169,203
02975.png,-1,-1,-1,-1
06764.png,30,13,127,135
08098.png,103,56,396,411
08014.png,90,57,298,304
20618.png,44,28,185,197
16101.png,46,12,185,205
09131.png,99,42,366,352
02620.png,59,44,300,344
10368.png,48,23,179,199
18250.png,92,57,429,465
13305.png,34,15,180,205
06911.png,48,29,287,329
14291.png,48,26,230,255
20828.png,98,57,457,506
11524.png,159,56,580,617
02381.png,98,60,381,412
15350.png,43,10,190,205
07603.png,-1,-1,-1,-1
19765.png,119,79,386,415
13388.png,29,11,111,122
21103.png,142,95,558,583
00342.png,55,22,384,455
16645.png,45,30,192,197
20938.png,-1,-1,-1,-1
16914.png,44,27,183,198
19888.png,127,37,536,551
18505.png,31,19,128,138
21165.png,101,28,328,344
02750.png,141,106,489,547
08523.png,144,175,488,564
05605.png,120,48,473,517
22137.png,21,8,147,165
05365.png,126,54,522,593
15458.png,57,5,324,354
17042.png,125,90,538,627
07601.png,62,46,377,411
16574.png,42,27,186,196
10050.png,40,17,189,206
08527.png,56,59,203,224
11225.png,45,9,188,207
06327.png,32,25,221,240
19856.png,41,10,176,188
16693.png,-1,-1,-1,-1
09011.png,44,8,217,235
18398.png,168,99,702,804
01284.png,-1,-1,-1,-1
03081.png,113,74,397,463
19453.png,111,33,483,523
19046.png,-1,-1,-1,-1
14509.png,84,34,365,417
10808.png,71,38,288,302
06027.png,41,14,152,159
09278.png,88,59,424,485
18400.png,100,76,427,462
18866.png,40,26,215,247
11205.png,-1,-1,-1,-1
16375.png,43,23,175,193
06120.png,60,29,277,293
19897.png,82,33,437,486
10014.png,125,51,444,429
08249.png,64,38,228,228
00130.png,69,55,241,295
21609.png,121,46,520,563
06661.png,104,64,385,441
14864.png,74,50,347,386
17894.png,39,26,181,207
21115.png,38,20,148,158
00097.png,80,50,318,353
13704.png,118,71,533,580
08032.png,133,513,489,959
14829.png,34,18,191,203
16090.png,37,17,190,209
18927.png,90,59,521,568
13567.png,49,24,182,194
01198.png,57,34,217,229
04233.png,101,51,543,609
08787.png,-1,-1,-1,-1
19613.png,31,18,182,193
17545.png,47,24,183,199
08885.png,109,46,474,486
03328.png,129,66,464,476
11941.png,46,26,182,195
17018.png,43,25,181,192
07424.png,110,55,414,446
08566.png,-1,-1,-1,-1
15268.png,42,19,185,199
09122.png,84,59,389,465
03059.png,73,25,277,275
15161.png,42,39,219,242
17093.png,122,101,460,507
17186.png,95,36,404,426
18760.png,56,31,178,186
06259.png,-1,-1,-1,-1
17736.png,51,23,187,200
01589.png,82,69,389,419
03431.png,48,31,214,237
03430.png,82,50,357,401
09907.png,-1,-1,-1,-1
05919.png,85,44,358,379
11195.png,126,72,438,460
21603.png,127,54,611,662
